Daedalon - Precision Geiger Counter
Zählmodus: 100 Ereignisse
Uhrzeit 1. Messpunkt: 5/4/2023 5:17:36 PM
Zeit (ms)	Zählrate (1/min)
0	1124
15118	1032
30230	976
45349	996
60464	784
75587	728
90707	728
105824	612
120952	716
136071	664
151190	468
166313	548
181424	468
196534	496
211660	516
226778	404
241895	412
257014	384
272134	328
287256	304
302374	328
317490	312
332602	292
347715	280
362834	276
377954	228
393064	212
408184	236
423300	224
438420	232
453540	232
468662	172
483782	144
498900	148
513919	96
529037	152
544150	76
559260	120
574380	120
589498	84
604620	128
619740	100
634854	124
649972	88
665093	124
680216	92
695249	56
709972	102
