Daedalon - Precision Geiger Counter
Zählmodus: 100 Ereignisse
Uhrzeit 1. Messpunkt: 5/4/2023 3:49:48 PM
Zeit (ms)	Zählrate (1/min)
0		48
15024		36
30145		20
45279		44
60406		52
75519		20
90549		36
105677	28
120806	16
135839	36
150971	36
166098	36
181232	28
196268	40
211415	40
226538	16
241582	32
256699	32
271837	28
286955	32
301987	32
317121	32
332248	32
347290	56
362407	36
377542	40
392683	40
407712	44
422838	32
437966	64
453095	20
468130	32
483242	28
498378	40
513501	52
528617	36
543638	44
558768	52
573894	40
589028	48
604062	48
619198	52
634328	32
649443	32
664467	44
679598	28
694744	40
709780	40
724906	48
740042	20
755076	44
770222	32
785351	32
800385	36
815505	36
830643	8
845676	40
860805	24
875934	40
891068	24
906093	56
920825	34
